机器质量等级,厂房室温（℃）,机器温度（℃）,转速（rpm）,扭矩（Nm）,功率（KW）,使用时长（min）,是否发生故障,具体故障类别
M,22.650000000000034,33.150000000000034,1235,76.2,9.85413612565445,89,1,PWF
M,23.150000000000034,33.950000000000045,1534,33.8,5.4292356020942405,151,0,Normal
M,23.05000000000001,33.85000000000002,2119,18.3,4.060492146596859,159,0,Normal
M,22.950000000000045,33.85000000000002,1523,42.0,6.698010471204189,164,0,Normal
M,22.950000000000045,33.950000000000045,1485,36.0,5.597905759162304,169,0,Normal
M,23.05000000000001,34.05000000000001,1168,63.4,7.754052356020942,172,0,Normal
M,23.150000000000034,34.05000000000001,1286,51.1,6.88110994764398,177,0,Normal
M,23.150000000000034,34.05000000000001,1446,45.9,6.949884816753926,180,0,Normal
M,23.25,34.05000000000001,2071,19.4,4.207057591623036,183,0,Normal
M,23.05000000000001,34.05000000000001,1633,31.1,5.31793717277487,0,0,Normal
M,23.05000000000001,34.05000000000001,1385,44.0,6.381151832460733,5,0,Normal
M,23.05000000000001,34.05000000000001,1552,34.8,5.655455497382198,8,0,Normal
M,23.05000000000001,34.150000000000034,1451,42.8,6.502910994764397,11,0,Normal
M,22.950000000000045,33.950000000000045,1433,38.5,5.777015706806282,14,0,Normal
M,22.950000000000045,34.05000000000001,1619,29.7,5.035005235602093,17,0,Normal
M,23.150000000000034,34.05000000000001,1319,68.3,9.433267015706805,24,1,PWF
M,23.150000000000034,34.05000000000001,1454,42.5,6.470680628272251,35,0,Normal
M,23.150000000000034,34.25,1335,50.5,7.059424083769634,48,0,Normal
M,23.05000000000001,34.150000000000034,1477,35.2,5.444020942408377,53,0,Normal
M,23.150000000000034,34.25,1958,19.1,3.9160000000000004,67,0,Normal
M,23.25,34.35000000000002,1684,31.4,5.536921465968586,72,0,Normal
M,23.450000000000045,34.55000000000001,1474,52.6,8.118575916230368,101,0,Normal
M,23.55000000000001,34.55000000000001,1597,32.1,5.367926701570681,114,0,Normal
M,23.55000000000001,34.75,1874,21.3,4.179706806282723,130,0,Normal
M,23.650000000000034,34.650000000000034,1664,32.8,5.71509947643979,142,0,Normal
M,23.650000000000034,34.75,1409,44.3,6.535989528795811,145,0,Normal
M,23.75,34.650000000000034,1544,40.3,6.51551832460733,150,0,Normal
M,23.75,34.650000000000034,1840,24.6,4.739685863874346,157,0,Normal
M,23.75,34.650000000000034,1477,37.2,5.753340314136126,160,0,Normal
M,23.850000000000023,34.75,1414,46.2,6.8405026178010475,165,0,Normal
M,23.850000000000023,34.55000000000001,1498,47.1,7.388041884816754,199,0,Normal
M,23.75,34.650000000000034,1392,43.9,6.39882722513089,0,0,Normal
M,23.75,34.55000000000001,2008,17.5,3.6795811518324606,3,0,Normal
M,23.75,34.450000000000045,1685,32.0,5.646073298429319,10,0,Normal
M,23.650000000000034,34.35000000000002,1443,39.2,5.923099476439791,13,0,Normal
M,23.75,34.25,1521,37.9,6.036219895287958,27,0,Normal
