机器质量等级,转速（rpm）,扭矩（Nm）,功率（KW）,使用时长（min）,是否发生故障,具体故障类别
L,2833,5.6,1.6612356020942407,213,1,PWF
L,2270,14.6,3.4703664921465966,149,1,PWF
L,1414,48.3,7.151434554973822,162,0,Normal
L,1651,35.7,6.171801047120419,167,0,Normal
L,1566,35.8,5.870450261780104,175,0,Normal
L,1560,33.2,5.42324607329843,186,0,Normal
L,1654,29.6,5.1265340314136125,188,0,Normal
L,1662,32.9,5.725633507853403,190,0,Normal
L,1646,35.0,6.032460732984293,192,0,Normal
L,1444,46.7,7.061235602094241,194,0,Normal
L,1382,52.0,7.525026178010471,201,0,Normal
L,1413,53.4,7.90096335078534,203,0,Normal
L,1441,41.7,6.292115183246073,3,0,Normal
L,1445,41.8,6.324712041884816,20,0,Normal
L,1356,43.6,6.190743455497382,22,0,Normal
L,1637,31.6,5.416670157068063,27,0,Normal
L,1291,58.6,7.921738219895288,29,0,Normal
L,1398,52.7,7.714617801047121,31,0,Normal
L,1372,57.7,8.289465968586388,33,0,Normal
L,1515,36.5,5.790314136125654,38,0,Normal
L,1881,24.3,4.78620942408377,40,0,Normal
L,1711,29.9,5.356952879581152,42,0,Normal
L,1475,37.0,5.714659685863874,44,0,Normal
L,1512,36.8,5.82634554973822,46,0,Normal
L,1472,39.9,6.150031413612565,51,0,Normal
L,1760,28.4,5.233926701570681,56,0,Normal
L,1549,36.1,5.85538219895288,58,0,Normal
L,1648,34.0,5.867225130890052,60,0,Normal
L,1403,48.4,7.110492146596858,70,0,Normal
L,1498,41.1,6.4468900523560215,80,0,Normal
L,1524,36.8,5.872586387434555,82,0,Normal
L,1502,43.9,6.90448167539267,84,0,Normal
L,1809,25.1,4.754544502617801,86,0,Normal
L,1542,37.4,6.038827225130889,88,0,Normal
L,1431,45.2,6.77290052356021,90,0,Normal
L,1512,43.6,6.902952879581152,92,0,Normal
L,1331,47.8,6.6619685863874345,99,0,Normal
L,1607,33.5,5.637120418848167,104,0,Normal
L,1415,44.2,6.549005235602095,106,0,Normal
L,1671,28.8,5.03924607329843,108,0,Normal
L,1556,37.7,6.142534031413613,110,0,Normal
L,1927,23.9,4.8225445026178,112,0,Normal
L,1480,39.4,6.1059685863874344,122,0,Normal
L,1565,39.5,6.473036649214659,124,0,Normal
L,1573,36.4,5.995518324607329,126,0,Normal
L,1605,31.3,5.260366492146597,128,0,Normal
L,1420,50.1,7.4494240837696335,138,0,Normal
L,1372,49.0,7.0395811518324605,140,0,Normal
L,1718,25.2,4.533361256544502,148,0,Normal
L,1466,45.7,7.01530890052356,153,0,Normal
L,1394,47.7,6.962701570680629,155,0,Normal
L,1425,49.1,7.326439790575916,163,0,Normal
L,1414,47.5,7.032984293193717,168,0,Normal
L,1595,31.7,5.294397905759162,170,0,Normal
L,1653,35.9,6.213895287958115,177,0,Normal
L,1547,36.5,5.91261780104712,179,0,Normal
L,1731,28.5,5.165811518324607,186,0,Normal
L,1774,28.0,5.201256544502618,188,0,Normal
L,1521,40.2,6.402534031413613,190,0,Normal
L,1683,32.3,5.6922408376963345,197,0,Normal
L,1385,56.4,8.179476439790577,202,1,OSF
L,1455,49.0,7.465445026178011,204,0,Normal
L,1464,41.4,6.3465549738219895,6,0,Normal
L,1447,46.4,7.030450261780105,8,0,Normal
L,1354,44.4,6.295036649214659,16,0,Normal
L,2721,9.3,2.6497696335078538,18,1,PWF
L,1680,35.8,6.297801047120418,20,0,Normal
L,1347,54.8,7.729382198952878,43,0,Normal
L,1389,42.7,6.210502617801048,48,0,Normal
L,1540,38.6,6.224502617801047,53,0,Normal
L,1504,45.8,7.212900523560209,58,0,Normal
L,1557,35.1,5.722586387434555,60,0,Normal
L,1292,52.5,7.102617801047121,62,0,Normal
L,1487,37.5,5.8390052356020945,83,0,Normal
L,1523,40.7,6.49069109947644,85,0,Normal
L,1443,41.8,6.315958115183245,87,0,Normal
L,1340,59.1,8.292565445026177,89,0,Normal
L,1459,40.2,6.141549738219895,96,0,Normal
L,1541,38.5,6.212408376963351,98,0,Normal
L,1706,30.8,5.50207329842932,111,0,Normal
L,1690,29.6,5.238115183246073,119,0,Normal
L,1413,46.5,6.880052356020943,121,0,Normal
L,1489,33.4,5.207602094240838,123,0,Normal
L,1271,61.4,8.171664921465968,125,0,Normal
L,1535,39.2,6.3007329842931945,133,0,Normal
L,1557,38.1,6.211696335078535,135,0,Normal
L,1653,29.7,5.140743455497382,137,0,Normal
L,1435,41.6,6.250890052356021,139,0,Normal
L,1635,31.6,5.410052356020943,147,0,Normal
L,1423,43.9,6.541329842931937,149,0,Normal
L,1479,39.2,6.070869109947644,151,0,Normal
L,1296,69.1,9.377340314136125,153,1,PWF
L,1553,33.3,5.415172774869109,155,0,Normal
L,1529,42.2,6.75641884816754,157,0,Normal
L,1348,58.0,8.186806282722513,162,0,Normal
L,1446,38.5,5.829424083769633,164,0,Normal
L,1456,50.0,7.62303664921466,166,0,Normal
L,1350,47.7,6.742931937172775,168,0,Normal
L,1507,38.3,6.043780104712042,170,0,Normal
L,1626,29.9,5.090827225130889,177,0,Normal
L,1583,37.2,6.166240837696336,189,0,Normal
L,1436,47.7,7.17248167539267,191,0,Normal
L,1609,35.6,5.9979476439790576,193,0,Normal
L,1316,61.2,8.433424083769633,200,1,OSF
L,1400,57.1,8.370680628272252,202,1,OSF
L,1367,47.1,6.741958115183246,204,0,Normal
L,1754,30.3,5.565047120418849,206,0,Normal
L,1487,34.6,5.3874554973821995,208,0,Normal
L,1362,52.5,7.487434554973822,213,1,OSF
L,1584,36.8,6.10379057591623,215,0,Normal
L,1355,43.7,6.200366492146598,217,0,Normal
L,1446,36.6,5.541738219895287,227,0,Normal
L,1398,60.4,8.841801047120418,12,0,Normal
L,1441,43.4,6.548628272251309,14,0,Normal
L,1379,52.1,7.523130890052357,21,0,Normal
L,1410,48.1,7.101675392670157,23,0,Normal
L,1513,40.5,6.416387434554974,25,0,Normal
L,1497,47.5,7.445811518324607,27,0,Normal
L,1491,46.5,7.259842931937173,29,0,Normal
L,1417,47.8,7.092418848167538,31,0,Normal
L,1339,52.1,7.304910994764398,36,0,Normal
L,1460,42.1,6.436230366492147,41,0,Normal
L,1347,50.8,7.165193717277486,49,0,Normal
L,1658,41.0,7.118115183246073,74,0,Normal
L,1521,34.5,5.494712041884816,84,0,Normal
L,1371,54.5,7.824031413612565,86,0,Normal
L,1489,44.1,6.875905759162305,96,0,Normal
L,1537,39.0,6.276753926701571,103,0,Normal
L,1359,56.5,8.040157068062827,110,0,Normal
L,1709,28.4,5.082261780104712,118,0,Normal
L,1514,41.0,6.4998952879581156,120,0,Normal
L,1455,43.5,6.627486910994764,122,0,Normal
L,1577,29.4,4.8548481675392665,130,0,Normal
L,1399,59.0,8.64303664921466,135,0,Normal
L,1492,48.1,7.514680628272251,137,0,Normal
L,1763,25.7,4.74440837696335,139,0,Normal
L,1488,42.5,6.621989528795812,146,0,Normal
L,1422,42.1,6.268712041884817,148,0,Normal
L,1304,53.5,7.305130890052356,153,0,Normal
L,1500,37.1,5.827225130890052,161,0,Normal
L,1636,31.3,5.361968586387435,192,0,Normal
L,1468,44.4,6.825047120418848,197,0,Normal
L,1726,28.4,5.132816753926701,202,0,Normal
L,1513,42.9,6.7966178010471205,212,0,Normal
L,1489,40.2,6.2678324607329845,214,0,Normal
L,1467,36.8,5.652942408376963,216,0,Normal
L,1549,36.1,5.85538219895288,218,0,Normal
L,1533,41.5,6.661727748691099,223,0,Normal
L,1309,57.3,7.854,0,0,Normal
L,1466,43.0,6.600837696335079,15,0,Normal
L,1427,50.4,7.530973821989529,17,0,Normal
L,1528,33.8,5.4079999999999995,22,0,Normal
L,1400,56.9,8.341361256544502,34,0,Normal
L,1558,35.7,5.82414659685864,39,0,Normal
L,1633,34.8,5.95061780104712,41,0,Normal
L,1496,45.8,7.174534031413613,46,0,Normal
L,1467,41.8,6.421005235602094,48,0,Normal
L,1397,48.2,7.050827225130891,63,0,Normal
L,1398,52.9,7.743895287958114,79,0,Normal
L,1546,36.1,5.844041884816755,94,0,Normal
L,1356,45.4,6.446324607329843,96,0,Normal
L,2153,15.3,3.4493089005235604,98,1,PWF
L,1582,40.3,6.6758743455497385,103,0,Normal
L,1419,41.5,6.166335078534032,105,0,Normal
L,1429,45.8,6.853214659685864,113,0,Normal
L,1486,40.3,6.270764397905759,126,0,Normal
L,1402,54.3,7.97158115183246,128,0,Normal
L,1621,34.1,5.78807329842932,130,0,Normal
L,1428,42.4,6.340020942408377,132,0,Normal
L,1322,57.0,7.890471204188482,140,0,Normal
L,1483,32.8,5.09344502617801,142,0,Normal
L,1505,45.7,7.201937172774869,144,0,Normal
L,1593,42.5,7.089267015706806,146,0,Normal
L,2098,19.6,4.305842931937173,148,0,Normal
L,1672,30.4,5.322387434554973,150,0,Normal
L,1487,41.4,6.446261780104711,152,0,Normal
L,1423,42.1,6.273120418848168,154,0,Normal
L,1750,25.0,4.5811518324607325,156,0,Normal
L,1654,31.1,5.386324607329843,158,0,Normal
L,1498,50.2,7.874303664921467,160,0,Normal
L,1587,30.2,5.0185759162303665,162,0,Normal
L,1473,42.6,6.570659685863875,164,0,Normal
L,1359,56.9,8.097078534031413,166,0,Normal
L,1520,45.0,7.162303664921466,171,0,Normal
L,1507,36.7,5.791298429319371,173,0,Normal
L,1428,46.3,6.923183246073298,175,0,Normal
L,1929,24.4,4.928544502617801,180,0,Normal
L,1362,53.0,7.558743455497382,185,0,Normal
L,1361,51.7,7.36792670157068,192,0,Normal
L,1411,46.5,6.870314136125654,202,0,Normal
L,1814,26.8,5.090596858638744,204,0,Normal
L,1696,30.2,5.363267015706806,214,0,Normal
L,1868,24.0,4.694450261780105,221,0,Normal
L,1365,49.1,7.017958115183246,226,1,OSF
L,1371,53.8,7.723539267015707,228,1,OSF
L,1583,32.6,5.4037486910994765,230,0,Normal
L,1721,27.2,4.901696335078534,5,0,Normal
L,1569,36.3,5.963842931937172,10,0,Normal
L,1676,32.7,5.73876439790576,18,0,Normal
L,1809,28.9,5.474356020942408,20,0,Normal
L,1804,26.1,4.930303664921466,22,0,Normal
L,1533,33.9,5.441748691099476,24,0,Normal
L,1717,27.3,4.908282722513089,26,0,Normal
L,1363,45.5,6.493874345549738,28,0,Normal
L,1402,45.9,6.73840837696335,30,0,Normal
L,1436,47.5,7.142408376963351,32,0,Normal
L,1525,43.7,6.9782722513089,34,0,Normal
L,1334,48.0,6.704921465968586,42,0,Normal
L,1593,37.4,6.238554973821989,47,0,Normal
L,1461,45.7,6.99138219895288,49,0,Normal
L,1404,50.3,7.394890052356021,54,0,Normal
L,1517,41.2,6.544544502617801,64,0,Normal
L,1433,54.6,8.192858638743456,66,0,Normal
L,1566,33.1,5.427706806282723,68,0,Normal
L,1676,33.5,5.879162303664922,70,0,Normal
L,1451,40.0,6.0774869109947645,86,0,Normal
L,1553,36.8,5.984335078534031,97,0,Normal
L,1461,46.7,7.144366492146596,105,0,Normal
L,1620,34.8,5.903246073298429,112,0,Normal
L,1786,27.7,5.180335078534031,114,0,Normal
L,1653,30.3,5.244596858638744,119,0,Normal
L,1484,43.8,6.806198952879581,124,0,Normal
L,1445,40.0,6.052356020942408,129,0,Normal
L,1823,26.1,4.982230366492147,131,0,Normal
L,1533,42.8,6.870408376963351,138,0,Normal
L,1409,54.8,8.085151832460733,140,0,Normal
L,2737,8.8,2.5220523560209425,142,1,PWF
L,1594,33.3,5.55813612565445,147,0,Normal
L,1527,44.0,7.035392670157068,149,0,Normal
L,1452,39.7,6.036062827225131,151,0,Normal
L,1483,39.2,6.0872879581151835,153,0,Normal
L,1569,38.2,6.276000000000001,155,0,Normal
L,1472,46.6,7.1827434554973815,157,0,Normal
L,1533,43.5,6.982774869109948,159,0,Normal
L,1372,48.0,6.895916230366492,174,0,Normal
L,1394,42.7,6.232858638743456,179,0,Normal
